date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017/3/2,27.5,27.63,27.31,27.23,365122.41,-0.15,-0.55,27.438,27.762,26.946,523532.12,697237.47,683653.88,0.61
2017/3/1,27.5,27.75,27.46,27.31,411257.91,0.02,0.07,27.558,27.79,26.756,592236.63,735258.49,665416.11,0.69
2017/2/28,27.09,27.57,27.44,27.09,434798.53,0.31,1.14,27.73,27.743,26.672,640309.19,773689.21,670839.6,0.73
2017/2/27,27.8,27.8,27.13,27.1,715625.75,-0.72,-2.58,27.89,27.689,26.575,732170.41,829038.16,665153.06,1.2
2017/2/24,27.97,28.14,27.85,27.23,690856,-0.06,-0.21,28.174,27.686,26.484,854387.66,878279.49,649341.35,1.16
2017/2/23,28.31,28.59,27.91,27.8,708644.94,-0.41,-1.45,28.086,27.498,26.356,870942.82,885838.21,644278.21,1.19
2017/2/22,28.1,28.5,28.32,27.9,651620.75,0.08,0.28,28.022,27.269,26.229,878280.36,873485.35,643053.13,1.09
2017/2/21,28.48,28.63,28.24,28.06,894104.62,-0.31,-1.09,27.756,26.972,26.057,907069.23,849537.13,629448.64,1.5
2017/2/20,27.46,28.66,28.55,27.45,1326712,1.14,4.16,27.488,26.661,25.893,925905.91,805237,630677.35,2.22
2017/2/17,27.7,27.9,27.41,27.18,773631.81,-0.18,-0.65,27.198,26.332,25.674,902171.31,714893.1,583658.81,1.3
2017/2/16,26.91,27.59,27.59,26.82,745332.62,0.6,2.22,26.91,26.13,25.493,900733.6,670070.3,575587.42,1.25
2017/2/15,26.9,27.35,26.99,26.75,795565.12,0.09,0.34,26.516,25.721,25.321,868690.34,595573.73,559038.83,1.33
2017/2/14,27.3,27.74,26.9,26.77,988288,-0.2,-0.74,26.188,25.6,25.187,792005.02,567989.99,538467.04,1.66
2017/2/13,25.97,27.13,27.1,25.94,1208039,1.13,4.35,25.834,25.46,25.076,684568.09,501267.96,506370.87,2.02
2017/2/10,25.7,26.18,25.97,25.61,766443.25,0.35,1.37,25.466,25.282,24.968,527614.89,420403.21,469160.27,1.28
2017/2/9,25.4,25.8,25.62,25.4,585116.31,0.27,1.06,25.35,25.213,24.906,439406.99,402718.21,458953.46,0.98
2017/2/8,25.17,25.45,25.35,25.09,412138.56,0.22,0.88,24.926,25.188,24.875,322457.13,412620.91,456754.14,0.69
2017/2/7,25.23,25.23,25.13,24.99,451103.31,-0.13,-0.52,25.012,25.141,24.871,343974.96,409360.14,467689.38,0.76
2017/2/6,25.38,25.54,25.26,25.15,423273.03,-0.13,-0.51,25.086,25.124,24.871,317967.84,456117.7,480965.44,0.71
2017/2/3,25.7,25.77,25.39,25.3,325403.75,-0.39,-1.51,25.098,25.015,24.861,313191.52,452424.51,488998.26,0.55
2017/2/2,25.77,26.26,23.5,23.5,367,-2.28,-8.84,25.076,24.855,24.823,366029.42,481104.54,496221.65,0
2017/1/26,25.5,25.94,25.78,25.5,519727.69,0.28,1.1,25.45,24.921,24.889,502784.7,522503.92,518910.61,0.87
2017/1/25,25.25,25.5,25.5,25.13,321067.72,0.18,0.71,25.27,24.774,24.847,474745.33,508944.09,521404.79,0.54
2017/1/24,25.27,25.43,25.32,25.1,399391.44,0.04,0.16,25.162,24.692,24.821,594267.57,511473.78,556739.9,0.67
2017/1/23,25.51,25.84,25.28,25.21,589593.25,-0.09,-0.35,24.932,24.653,24.786,591657.5,517917.33,574796.03,0.99
2017/1/20,24.89,25.55,25.37,24.89,684143.38,0.49,1.97,24.634,24.599,24.726,596179.65,515188.72,580842.78,1.15
2017/1/19,25,25.15,24.88,24.77,379530.88,-0.08,-0.32,24.392,24.562,24.691,542223.14,500887.38,601771.43,0.64
