date,open,high,close,low,volume,price_change,p_change,ma5,ma10,ma20,v_ma5,v_ma10,v_ma20,turnover
2017-11-17,9.45,9.58,8.68,8.58,219372.86,-0.78,-8.24,9.676,10.287,10.915,207738.93,269553.34,387636.71,13.71
2017-11-16,9.78,9.95,9.44,9.4,164153.62,-0.55,-5.51,10.064,10.492,11.073,224289.22,273474.26,377838.59,10.26
2017-11-15,9.93,10.09,9.99,9.77,138602.03,0.05,0.5,10.386,10.664,11.138,258174.46,301246.84,370188.08,8.66
2017-11-14,10.28,10.28,9.95,9.88,251204.91,-0.37,-3.58,10.652,10.728,11.127,336268.23,316148.83,363442.59,15.7
2017-11-13,10.62,10.64,10.32,10.23,265361.25,-0.3,-2.83,10.82,10.817,11.074,343912.26,322578.36,351046.84,16.59
2017-11-10,10.8,10.93,10.62,10.55,302124.28,-0.44,-3.98,10.898,10.864,10.961,331367.75,340259.99,337878.36,18.88
2017-11-09,11.07,11.18,11.05,10.88,333579.81,-0.27,-2.38,10.92,10.915,10.797,322659.29,363957.63,322825.99,20.85
2017-11-08,10.74,11.75,11.32,10.71,529070.88,0.53,4.91,10.942,11.004,10.578,344319.21,411940.1,306181.12,33.07
2017-11-07,10.57,10.99,10.79,10.32,289425.06,0.08,0.75,10.804,11.192,10.315,296029.43,417138.17,279738.43,18.09
2017-11-06,10.96,11.07,10.71,10.58,202638.7,-0.02,-0.19,10.814,11.313,10.051,301244.47,481262.75,265276.98,12.66
2017-11-03,10.92,11.04,10.73,10.67,258582.02,-0.43,-3.85,10.83,11.543,9.766,349152.23,505720.08,255162.49,16.16
2017-11-02,10.61,11.58,11.16,10.41,441879.41,0.53,4.99,10.91,11.653,9.457,405255.98,482202.93,242258.04,27.62
2017-11-01,10.85,11.05,10.63,10.6,287621.97,-0.21,-1.94,11.066,11.612,9.367,479560.99,439129.32,231751.65,17.98
2017-10-31,10.55,10.97,10.84,10.55,315500.25,0.05,0.46,11.58,11.526,9.297,538246.91,410736.35,228647.75,19.72
2017-10-30,10.73,10.99,10.79,10.1,442177.5,-0.34,-3.06,11.812,11.33,9.206,661281.02,379515.32,223538.77,27.64
2017-10-27,11.5,11.73,11.13,11.0,539100.75,-0.81,-6.78,12.256,11.058,9.108,662287.94,335496.73,209873.85,33.69
2017-10-26,13.2,13.2,11.94,11.88,813404.5,-1.26,-9.54,12.396,10.679,8.973,559149.89,281694.35,187925.39,50.84
2017-10-25,11.68,13.2,13.2,11.52,581051.56,1.2,10.0,12.158,10.152,8.761,398697.64,200422.14,143248.32,36.32
2017-10-24,13.2,13.45,12.0,11.84,930670.81,-1.01,-7.76,11.472,9.438,8.419,283225.78,142338.69,109571.14,58.17
2017-10-23,12.5,13.01,13.01,12.5,447212.06,1.18,9.97,10.848,8.789,8.121,97749.62,49291.21,41146.17,27.95
2017-10-20,11.83,11.83,11.83,11.83,23410.52,1.08,10.05,9.86,7.989,7.676,8705.52,4604.9,4231.09,1.46
2017-10-19,10.75,10.75,10.75,10.75,11143.24,0.98,10.03,8.962,7.261,7.261,4238.81,2313.15,2313.15,0.7
2017-10-18,9.77,9.77,9.77,9.77,3692.29,0.89,10.02,8.146,6.873,6.873,2146.65,1332.02,1332.02,0.23
2017-10-17,8.88,8.88,8.88,8.88,3289.98,0.81,10.04,7.404,6.511,6.511,1451.59,1036.99,1036.99,0.21
2017-10-16,8.07,8.07,8.07,8.07,1991.57,0.73,9.95,6.73,6.173,6.173,832.8,715.14,715.14,0.12
2017-10-13,7.34,7.34,7.34,7.34,1076.99,0.67,10.04,6.118,5.857,5.857,504.28,502.4,502.4,0.07
2017-10-12,6.67,6.67,6.67,6.67,682.42,0.61,10.07,5.56,5.56,5.56,387.48,387.48,387.48,0.04
2017-10-11,6.06,6.06,6.06,6.06,217.0,0.55,9.98,5.283,5.283,5.283,313.74,313.74,313.74,0.01
2017-10-10,5.51,5.51,5.51,5.51,196.0,0.5,9.98,5.023,5.023,5.023,345.99,345.99,345.99,0.01
2017-10-09,5.01,5.01,5.01,5.01,348.98,0.46,10.11,4.78,4.78,4.78,420.99,420.99,420.99,0.02
2017-09-29,3.79,4.55,4.55,3.79,492.99,1.39,43.99,4.55,4.55,4.55,492.99,492.99,492.99,0.03
